strain,time,subgroup
leaf_0,141.427393499661,1
leaf_1,131.28864051347,0
leaf_2,128.751571274769,0
leaf_3,122.881201901285,1
leaf_4,119.03680500674,0
leaf_5,118.194432075277,0
leaf_6,116.409319889265,0
leaf_7,116.361524543639,1
leaf_8,111.995293608524,1
leaf_9,111.13276621287,0
leaf_10,106.81695937046,1
leaf_11,102.728239021012,1
leaf_12,100.829161000701,1
leaf_13,99.731597595999,0
leaf_14,99.5812784371093,1
leaf_15,99.313022053684,0
leaf_16,97.7205311135171,1
leaf_17,97.5095116868813,0
leaf_18,96.5705582962764,1
leaf_19,94.9800197526214,1
leaf_20,92.9710831796146,0
leaf_21,92.5978411530204,1
leaf_22,92.46228402864,0
leaf_23,90.9548087504009,1
leaf_24,90.6848437695802,1
leaf_25,90.0769556992017,1
leaf_26,89.644056560025,1
leaf_27,89.3290353690968,0
leaf_28,87.1561137449538,0
leaf_29,87.1377907710964,1
leaf_30,86.9154805759544,0
leaf_31,86.3727054260136,1
leaf_32,85.1904527053791,0
leaf_33,85.1749262805384,0
leaf_34,85.1486237728688,0
leaf_35,83.8200872825747,1
leaf_36,82.6442398919533,1
leaf_37,82.3965948167943,0
leaf_38,81.8488021364129,0
leaf_39,81.7184458834646,0
leaf_40,81.7029898451159,1
leaf_41,81.6146400783861,1
leaf_42,81.4613981907345,1
leaf_43,78.793155348128,1
leaf_44,78.5647606093381,1
leaf_45,78.0948639250124,1
leaf_46,77.4221688691892,0
leaf_47,77.1379748758354,1
leaf_48,76.8590639922061,0
leaf_49,75.9503778756065,0
leaf_50,75.7998568917357,0
leaf_51,75.5551879287124,0
leaf_52,75.1490798929017,1
leaf_53,74.817698234176,1
leaf_54,73.5214080501631,1
leaf_55,73.4051998391814,1
leaf_56,73.3719710544702,1
leaf_57,73.1768173970959,0
leaf_58,73.0120097823003,1
leaf_59,72.9914609530272,1
leaf_60,72.7042245915992,1
leaf_61,72.0760632634833,1
leaf_62,72.0758771242137,1
leaf_63,71.2751465779478,0
leaf_64,71.2716136176703,0
leaf_65,68.9203131848288,1
leaf_66,68.0120698947542,1
leaf_67,67.616611768938,0
leaf_68,67.4186019767602,0
leaf_69,66.7507184851208,1
leaf_70,66.5407196266246,1
leaf_71,65.7994163392622,0
leaf_72,65.0051424173813,1
leaf_73,64.8362899805608,1
leaf_74,64.7606963865348,1
leaf_75,63.4298319783128,0
leaf_76,61.3750920701287,0
leaf_77,61.3038130697531,1
leaf_78,61.0723609215699,0
leaf_79,60.2806736319969,1
leaf_80,60.223304447411,1
leaf_81,59.0083407160566,0
leaf_82,57.8278046590461,1
leaf_83,57.1346719232645,1
leaf_84,54.6077657380667,1
leaf_85,54.0104386545458,1
leaf_86,53.7892237804721,0
leaf_87,53.1472034776875,0
leaf_88,50.4987831369649,0
leaf_89,47.4823429961424,1
leaf_90,46.9238745315495,0
leaf_91,44.7564936318284,1
leaf_92,34.7577139601632,0
leaf_93,33.153580387381,1
leaf_94,27.7150482290073,0
leaf_95,21.9129401816618,1
leaf_96,21.6958659106822,0
leaf_97,4.88281528450089,1
